Release;Release Date;Distributor;First_release_year;Second_release_year;Number_years;Domestic_gross;New_ranking;IMDB_mean;IMDB_median;IMDB_weighted_mean;Metacritic_critics_mean_score;Metacritic_critics_median_score;Metacritic_critics_weighted_score;Distance_critics_user;IMDB_mean_score_US;Metacritic_critics_mean_score_US;Distance_critics_user_US;IMDB_mean_score_males;IMDB_mean_score_females;IMDB_mean_score_<18;IMDB_mean_score_18-29;IMDB_mean_score_30-45;IMDB_mean_score_45+;link_boxoffice;link_IMDB;IMDB_general_sample;link_Metacritic,,,,,,,
Avatar;dec 18;Twentieth Century Fox;2010;null;1;749766139;1;78;8;78;83,85714286;88;83;5,857142857;77;84,41935484;7,419354839;78;77;77;77;78;79;rl876971521;tt0499549;1076942;avatar,,,
Toy Story 3;jun 18;Walt Disney Studios Motion Pictures;2010;null;1;415004880;2;82;8;83;90,33333333;90;92;8,333333333;85;90,51428571;5,514285714;83;83;82;84;83;81;rl1383564801;tt0435761;716752;toy-story-3,,,
Alice in Wonderland;mar 5;Walt Disney Studios Motion Pictures;2010;null;1;334191110;3;66;7;64;58,63157895;60;53;7,368421053;63;58,41176471;4,588235294;63;69;67;65;64;65;rl3393226241;tt1014759;368205;alice-in-wonderland,,,
Iron Man 2;may 7;Paramount Pictures;2010;null;1;312433331;4;71;7;70;60,075;61,5;57;10,925;70;60,72222222;9,277777778;69;72;68;70;69;70;rl1515881985;tt1228705;685506;iron-man-2,,
The Twilight Saga: Eclipse;jun 30;Summit Entertainment;2010;null;1;300531751;5;54;5;50;61,18421053;61,5;58;7,184210526;50;61,17647059;11,17647059;45;58;null;49;48;52;rl659654145;tt1325004;217321;the-twilight-saga-eclipse,,
Harry Potter and the Deathly Hallows: Part 1;nov 19;Warner Bros.;2010;null;1;295983305;6;78;8;77;67,88095238;70;65;10,11904762;79;67,84210526;11,15789474;75;82;79;79;75;74;rl1248560641;tt0926084;444520;harry-potter-and-the-deathly-hallows-part-i,,,
Inception;jul 16;Warner Bros.;2010;null;1;292576195;7;87;9;88;77,5;85,5;74;9,5;87;76,31578947;10,68421053;88;86;90;90;87;81;rl2908456449;tt1375666;1919583;inception,,
The Blind Side;nov 20;Warner Bros.;2010;null;1;255959475;8;78;8;76;58,31034483;63;53;19,68965517;75;59,95833333;15,04166667;76;80;null;77;76;76;rl3796338177;tt0878804;276292;the-blind-side,,,
Despicable Me;jul 09;Universal Pictures;2010;null;1;251513985;9;78;8;76;73,57142857;75;72;4,428571429;76;74,09677419;1,903225806;76;79;74;77;76;76;rl2018477569;tt1323594;478843;despicable-me,,,
Shrek Forever After;may 21;DreamWorks;2010;null;1;238736787;10;64;6;63;62,2;63;58;1,8;62;61,77419355;0,225806452;63;65;62;62;64;65;rl57771521;tt0892791;174333;shrek-forever-after,,,
Alvin and the Chipmunks: The Squeakquel;dec 23;Twentieth Century Fox;2010;null;1;219614612;11;48;5;45;45,5;50;41;2,5;42;47,05882353;5,058823529;43;52;null;46;44;45;rl1816364545;tt1231580;41002;alvin-and-the-chipmunks-the-squeakquel,,,
How to Train Your Dragon;mar 26;DreamWorks;2010;null;1;217581231;12;82;8;81;77,24324324;80;75;4,756756757;81;77,57575758;3,424242424;80;84;80;82;81;79;rl2908259841;tt0892769;632504;how-to-train-your-dragon,,,
